,n_products,n_brands,n_reviews,n_firststar,n_secondstar,n_thirdstar,n_fourstar,n_fivestar,price,avg_reviews,n_brand,avg_review,price_v
Disodium Phosphate,6,"[Peter Thomas Roth, Peter Thomas Roth, SK-II, First Aid Beauty, SEPHORA COLLECTION, Fresh]",2166.0,112.0,112.0,136.0,400.0,367.0,"[48.0, 98.0, 70.0, 36.0, 23.0, 90.0]","[4.3235, 4.0, 4.5294, 4.3182, 4.3517, 4.169]",5.0,4.28196666667,60.8333333333
Sodium Acryloyldimethyltaurate/VpCrosspolymer,1,[Peter Thomas Roth],68.0,4.0,5.0,5.0,5.0,49.0,[48.0],[4.3235],1.0,4.3235,48.0
Sodium Nitrate,2,"[Peter Thomas Roth, First Aid Beauty]",244.0,14.0,16.0,12.0,38.0,165.0,"[48.0, 36.0]","[4.3235, 4.3182]",2.0,4.32085,42.0
Potassium Laurate,3,"[Peter Thomas Roth, bareMinerals, Erno Laszlo]",144.0,9.0,7.0,7.0,16.0,105.0,"[48.0, 32.0, 90.0]","[4.3235, 3.7895, 4.6842]",3.0,4.26573333333,56.6666666667
Glyoxal,2,"[Peter Thomas Roth, First Aid Beauty]",244.0,14.0,16.0,12.0,38.0,165.0,"[48.0, 36.0]","[4.3235, 4.3182]",2.0,4.32085,42.0
Yellow 5 (Ci 19140),2,"[Peter Thomas Roth, GLAMGLOW]",280.0,21.0,26.0,20.0,37.0,178.0,"[48.0, 49.0]","[4.3235, 4.0991]",2.0,4.2113,48.5
Blue 1 (Ci 42090),2,"[Peter Thomas Roth, GLAMGLOW]",280.0,21.0,26.0,20.0,37.0,178.0,"[48.0, 49.0]","[4.3235, 4.0991]",2.0,4.2113,48.5
Triheptanoin,12,"[KORRES, KORRES, KORRES, Dr. Brandt Skincare, REN, REN, REN, KORRES, Ole Henriksen, KORRES, REN, KORRES]",3214.0,193.0,189.0,260.0,600.0,1973.0,"[58.0, 62.0, 45.0, 65.0, 38.0, 65.0, 50.0, 48.0, 48.0, 68.0, 45.0, 45.0]","[4.1628, 4.32, 4.75, 4.087, 4.3934, 4.1591, 4.3333, 4.2586, 4.0056, 4.0339, 4.2645, 4.3685]",4.0,4.26139166667,53.0833333333
Sinorhizobium Meliloti Ferment Filtrate,2,"[KORRES, KORRES]",220.0,24.0,12.0,16.0,43.0,125.0,"[58.0, 68.0]","[4.1628, 4.0339]",1.0,4.09835,63.0
Saccharomyces/Xylinum/Black Tea Ferment,4,"[KORRES, Josie Maran, KORRES, Murad]",401.0,39.0,30.0,36.0,74.0,222.0,"[58.0, 38.0, 68.0, 48.0]","[4.1628, 3.8794, 4.0339, 4.325]",3.0,4.100275,53.0
Oleyl Alcohol,10,"[KORRES, KORRES, REN, KORRES, REN, REN, REN, REN, KORRES, REN]",888.0,74.0,45.0,63.0,187.0,520.0,"[58.0, 62.0, 48.0, 45.0, 38.0, 38.0, 65.0, 50.0, 68.0, 30.0]","[4.1628, 4.32, 4.2154, 4.75, 3.8485, 4.3934, 4.1591, 4.3333, 4.0339, 4.204]",2.0,4.24204,50.2
Avena Strigosa Seed Extract,2,"[KORRES, KORRES]",220.0,24.0,12.0,16.0,43.0,125.0,"[58.0, 68.0]","[4.1628, 4.0339]",1.0,4.09835,63.0
Cetyl Hydroxyethylcellulose,3,"[KORRES, Dr. Dennis Gross Skincare, KORRES]",224.0,24.0,12.0,16.0,44.0,128.0,"[58.0, 65.0, 68.0]","[4.1628, 4.75, 4.0339]",2.0,4.31556666667,63.6666666667
Distarch Phosphate,4,"[KORRES, KORRES, KORRES, KORRES]",2168.0,122.0,122.0,180.0,382.0,1362.0,"[58.0, 48.0, 68.0, 45.0]","[4.1628, 4.2586, 4.0339, 4.3685]",1.0,4.20595,54.75
Epigallocatechin Gallate,5,"[KORRES, AmorePacific, KORRES, AmorePacific, AmorePacific]",556.0,43.0,37.0,42.0,99.0,335.0,"[58.0, 195.0, 68.0, 150.0, 195.0]","[4.1628, 4.3368, 4.0339, 4.1667, 3.8125]",2.0,4.10254,133.2
Hexapeptide-11,2,"[KORRES, KORRES]",220.0,24.0,12.0,16.0,43.0,125.0,"[58.0, 68.0]","[4.1628, 4.0339]",1.0,4.09835,63.0
Lonicera Caprifolium (Honeysuckle) Flower Extract,3,"[KORRES, boscia, Josie Maran]",154.0,15.0,18.0,15.0,28.0,79.0,"[58.0, 36.0, 42.0]","[4.1628, 3.6237, 4.7222]",3.0,4.16956666667,45.3333333333
Pinus Nigra Bud/Needle Extract,3,"[KORRES, KORRES, KORRES]",224.0,24.0,12.0,16.0,44.0,128.0,"[58.0, 45.0, 68.0]","[4.1628, 4.75, 4.0339]",1.0,4.31556666667,57.0
Nigella Sativa Seed Oil,2,"[Fresh, NUDE Skincare]",73.0,3.0,3.0,4.0,13.0,50.0,"[42.0, 0.0]","[4.5593, 3.8571]",2.0,4.2082,21.0
Bixa Orellana Seed Extract,1,[Fresh],59.0,1.0,2.0,3.0,10.0,43.0,[42.0],[4.5593],1.0,4.5593,42.0
Haberlea Rhodopensis Leaf Extract,2,"[Fresh, boscia]",179.0,10.0,7.0,10.0,47.0,105.0,"[42.0, 36.0]","[4.5593, 4.15]",2.0,4.35465,39.0
C20-40 Pareth-3,1,[Algenist],73.0,2.0,9.0,10.0,10.0,42.0,[42.0],[4.1096],1.0,4.1096,42.0
Zea Mays (Corn) Starch,5,"[Algenist, Blithe, Dr. Jart+, Dr. Jart+, Dr. Jart+]",196.0,27.0,20.0,22.0,29.0,98.0,"[42.0, 46.0, 38.0, 42.0, 34.0]","[4.1096, 5.0, 3.1607, 3.6512, 4.25]",3.0,4.0343,40.4
Haematococcus Pluvialis Extract,1,[Algenist],73.0,2.0,9.0,10.0,10.0,42.0,[42.0],[4.1096],1.0,4.1096,42.0
Decylene Glycol,4,"[Algenist, Lancer, boscia, boscia]",333.0,23.0,41.0,37.0,64.0,169.0,"[42.0, 125.0, 36.0, 36.0]","[4.1096, 3.6, 3.6237, 4.0741]",3.0,3.85185,59.75
Chlorophyllin-Copper Complex,1,[Algenist],73.0,2.0,9.0,10.0,10.0,42.0,[42.0],[4.1096],1.0,4.1096,42.0
Ammonium Polyacrylate,2,"[Algenist, Dr. Brandt Skincare]",110.0,5.0,11.0,12.0,16.0,66.0,"[42.0, 59.0]","[4.1096, 4.2432]",2.0,4.1764,50.5
Raphanus Sativus (Radish) Root Extract,1,[Algenist],73.0,2.0,9.0,10.0,10.0,42.0,[42.0],[4.1096],1.0,4.1096,42.0
Polyglyceryl-10 Oleate,1,[Algenist],73.0,2.0,9.0,10.0,10.0,42.0,[42.0],[4.1096],1.0,4.1096,42.0
PPG-3 Benzyl Ether Myristate,2,"[Peter Thomas Roth, Algenist]",29.0,3.0,3.0,1.0,4.0,18.0,"[98.0, 98.0]","[4.0, 4.087]",2.0,4.0435,98.0
Myristoyl Octapeptide-1,1,[Peter Thomas Roth],6.0,1.0,0.0,0.0,2.0,3.0,[98.0],[4.0],1.0,4.0,98.0
Hexapeptide-10,2,"[Peter Thomas Roth, Fresh]",290.0,22.0,22.0,20.0,48.0,178.0,"[98.0, 90.0]","[4.0, 4.169]",2.0,4.0845,94.0
Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate,2,"[Peter Thomas Roth, Algenist]",50.0,1.0,2.0,5.0,8.0,34.0,"[98.0, 100.0]","[4.0, 4.5]",2.0,4.25,99.0
Zizyphus Jujuba Seed Extract,1,[Peter Thomas Roth],6.0,1.0,0.0,0.0,2.0,3.0,[98.0],[4.0],1.0,4.0,98.0
Jania Rubens Extract,1,[Peter Thomas Roth],6.0,1.0,0.0,0.0,2.0,3.0,[98.0],[4.0],1.0,4.0,98.0
Lepidium Meyenii Root Extract,3,"[Peter Thomas Roth, Blithe, Fresh]",1447.0,66.0,77.0,142.0,272.0,891.0,"[98.0, 42.0, 45.0]","[4.0, 4.9, 4.2725]",3.0,4.39083333333,61.6666666667
Phytoecdysteroids,1,[Peter Thomas Roth],6.0,1.0,0.0,0.0,2.0,3.0,[98.0],[4.0],1.0,4.0,98.0
Meristotheca Dakarensis Extract,1,[Peter Thomas Roth],6.0,1.0,0.0,0.0,2.0,3.0,[98.0],[4.0],1.0,4.0,98.0
Glyceryl Isostearate,2,"[Lancôme, MDSolarSciences]",151.0,25.0,23.0,16.0,29.0,59.0,"[55.0, 39.0]","[3.2095, 4.1739]",2.0,3.6917,47.0
Fuller's Earth (Solum Fullonum),1,[Fresh],255.0,12.0,23.0,30.0,58.0,132.0,[39.0],[4.0784],1.0,4.0784,39.0
Fagus Sylvatica Extract,1,[Fresh],255.0,12.0,23.0,30.0,58.0,132.0,[39.0],[4.0784],1.0,4.0784,39.0
Beeswax (Cera Alba),1,[Fresh],255.0,12.0,23.0,30.0,58.0,132.0,[39.0],[4.0784],1.0,4.0784,39.0
Isobutylparaben,9,"[Fresh, SK-II, DERMAdoctor, Murad, Laura Mercier, Laura Mercier, Son &amp; Park, Givenchy, Peter Thomas Roth]",695.0,37.0,45.0,58.0,132.0,425.0,"[39.0, 70.0, 57.0, 40.0, 53.0, 53.0, 30.0, 390.0, 68.0]","[4.0784, 4.5294, 4.2283, 3.7568, 4.1364, 4.3158, 4.8909, 4.3125, 4.3308]",8.0,4.28658888889,88.8888888889
PEG/PPG-14/7 Dimethyl Ether,2,"[bareMinerals, bareMinerals]",25.0,1.0,1.0,2.0,4.0,17.0,"[35.0, 35.0]","[4.4, 4.4]",1.0,4.4,35.0
Beheneth-20,2,"[bareMinerals, bareMinerals]",25.0,1.0,1.0,2.0,4.0,17.0,"[35.0, 35.0]","[4.4, 4.4]",1.0,4.4,35.0
Batyl Alcohol,6,"[bareMinerals, SK-II, Tatcha, SK-II, bareMinerals, Shiseido]",187.0,10.0,22.0,18.0,32.0,105.0,"[35.0, 385.0, 150.0, 160.0, 35.0, 45.0]","[4.4, 3.6667, 4.0238, 4.3111, 4.4, 3.8551]",4.0,4.10945,135.0
Lauryl Betaine,5,"[bareMinerals, bareMinerals, bareMinerals, bareMinerals, Shiseido]",136.0,9.0,16.0,10.0,20.0,81.0,"[35.0, 32.0, 38.0, 35.0, 45.0]","[4.4, 3.7895, 4.6957, 4.4, 3.8551]",2.0,4.22806,37.0
Stearamidopropyl Dimethylamine,3,"[bareMinerals, Dr. Brandt Skincare, bareMinerals]",73.0,5.0,6.0,4.0,11.0,47.0,"[35.0, 67.0, 35.0]","[4.4, 4.125, 4.4]",2.0,4.30833333333,45.6666666667
Succinoglycan,3,"[bareMinerals, bareMinerals, bareMinerals]",1843.0,189.0,183.0,167.0,373.0,936.0,"[35.0, 29.5, 35.0]","[4.4, 3.9032, 4.4]",1.0,4.2344,33.1666666667
Copernicia Cerifera (Carnauba) Wax (Cera Carnauba/Cire De Carnauba),3,"[bareMinerals, bareMinerals, bareMinerals]",48.0,2.0,1.0,2.0,7.0,36.0,"[35.0, 38.0, 35.0]","[4.4, 4.6957, 4.4]",1.0,4.49856666667,36.0
Sodium Metaphosphate,10,"[bareMinerals, Shiseido, Shiseido, bareMinerals, Shiseido, Shiseido, Shiseido, Shiseido, Shiseido, bareMinerals]",269.0,14.0,16.0,20.0,53.0,166.0,"[35.0, 57.0, 110.0, 32.0, 124.0, 90.0, 58.0, 24.0, 100.0, 35.0]","[4.4, 3.9091, 0.0, 3.7895, 4.2812, 4.3333, 4.2405, 4.3529, 4.6667, 4.4]",2.0,3.83732,66.5
Hypericum Erectum Extract,5,"[bareMinerals, bareMinerals, Shiseido, bareMinerals, bareMinerals]",146.0,10.0,6.0,9.0,29.0,92.0,"[35.0, 32.0, 58.0, 38.0, 35.0]","[4.4, 3.7895, 4.2405, 4.6957, 4.4]",2.0,4.30514,39.6
NARS Exclusive Light Reflecting Complex: Enhances skin’s luminosity,1,[NARS],47.0,1.0,6.0,1.0,6.0,33.0,[60.0],[4.3617],1.0,4.3617,60.0
Glycerin (Organic),1,[COOLA],68.0,6.0,11.0,1.0,7.0,43.0,[36.0],[4.0294],1.0,4.0294,36.0
Isopropyl Titianium Triisostearate,1,[COOLA],68.0,6.0,11.0,1.0,7.0,43.0,[36.0],[4.0294],1.0,4.0294,36.0
Polyamide-5,2,"[COOLA, Kate Somerville]",603.0,46.0,48.0,43.0,109.0,357.0,"[36.0, 65.0]","[4.0294, 4.1458]",2.0,4.0876,50.5
Propylene Carbonate,11,"[COOLA, philosophy, REN, Origins, Fresh, GLAMGLOW, Dr. Jart+, Peter Thomas Roth, Algenist, Dr. Jart+, stila]",4955.0,315.0,353.0,404.0,990.0,1758.0,"[36.0, 68.0, 38.0, 60.0, 52.0, 59.0, 39.0, 48.0, 112.0, 36.0, 38.0]","[4.0294, 3.3235, 3.8485, 5.0, 3.3421, 4.12, 4.2925, 4.012, 4.3818, 4.163, 4.1306]",10.0,4.05849090909,53.2727272727
Rosa Canina (Organic) Fruit Oil,1,[COOLA],68.0,6.0,11.0,1.0,7.0,43.0,[36.0],[4.0294],1.0,4.0294,36.0
Stearalkonium Hectorite,3,"[COOLA, philosophy, REN]",235.0,33.0,26.0,16.0,52.0,108.0,"[36.0, 68.0, 38.0]","[4.0294, 3.3235, 3.8485]",3.0,3.7338,47.3333333333
Biosaccharidegum-1,1,[Erborian],40.0,2.0,0.0,2.0,7.0,30.0,[36.0],[4.525],1.0,4.525,36.0
Sodiumhyaluronate,1,[Erborian],40.0,2.0,0.0,2.0,7.0,30.0,[36.0],[4.525],1.0,4.525,36.0
Ci19140/Yellow5,1,[Erborian],40.0,2.0,0.0,2.0,7.0,30.0,[36.0],[4.525],1.0,4.525,36.0
Soft Focus Pigments and Mattifying Powders: Instantly smooth and conceal for a priming effect,1,[Caudalie],7.0,1.0,0.0,0.0,1.0,5.0,[66.0],[4.2857],1.0,4.2857,66.0
Polyglycerin-6 Distearate,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
Paeonia Lactiflora Extract,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
Acacia Decurrens Flower Cera/Acacia Decurrens Flower Wax,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
Escin,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
Stearoyl Glutamate,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
Sorbitan,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
Isostearate,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
POlyglycerin-3,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
12-Hexanediol,2,"[L’Occitane, SEPHORA COLLECTION]",410.0,24.0,21.0,26.0,56.0,283.0,"[42.0, 23.0]","[4.675, 4.3135]",2.0,4.49425,32.5
Glyeryl Caprylate,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
CI 77491/Iron Oxides,1,[L’Occitane],40.0,0.0,0.0,4.0,5.0,31.0,[42.0],[4.675],1.0,4.675,42.0
Sodium Benzoate Pitera,1,[SK-II],14.0,0.0,0.0,4.0,3.0,7.0,[170.0],[4.2143],1.0,4.2143,170.0
Dicaprylyl Maleate,1,[Murad],53.0,6.0,5.0,4.0,11.0,27.0,[55.0],[3.9057],1.0,3.9057,55.0
Pollen Extract,1,[Murad],53.0,6.0,5.0,4.0,11.0,27.0,[55.0],[3.9057],1.0,3.9057,55.0
Lysine HCl,1,[Murad],53.0,6.0,5.0,4.0,11.0,27.0,[55.0],[3.9057],1.0,3.9057,55.0
Tripeptide-10 Citrulline,1,[Murad],53.0,6.0,5.0,4.0,11.0,27.0,[55.0],[3.9057],1.0,3.9057,55.0
Arctostaphylos Uva Ursi Leaf Extract,3,"[Murad, Dr. Dennis Gross Skincare, Algenist]",379.0,19.0,27.0,24.0,54.0,256.0,"[55.0, 72.0, 28.0]","[3.9057, 4.1625, 4.4634]",3.0,4.1772,51.6666666667
Spondias Mombin Pulp Extract,1,[Murad],53.0,6.0,5.0,4.0,11.0,27.0,[55.0],[3.9057],1.0,3.9057,55.0
Musa Sapientum (Banana) Pulp Extract,1,[Murad],53.0,6.0,5.0,4.0,11.0,27.0,[55.0],[3.9057],1.0,3.9057,55.0
Punica Granatum Extract,5,"[Murad, Murad, AmorePacific, IT Cosmetics, IT Cosmetics]",334.0,17.0,34.0,24.0,63.0,197.0,"[55.0, 40.0, 195.0, 32.0, 35.0]","[3.9057, 3.7568, 4.3368, 4.2895, 3.5]",3.0,3.95776,71.4
Polyglyceryl-10 Dioleate,2,"[AmorePacific, Tatcha]",647.0,36.0,27.0,36.0,89.0,460.0,"[50.0, 48.0]","[4.3214, 4.439]",2.0,4.3802,49.0
Pentaerythrityltetraethylhexanoate,1,[AmorePacific],196.0,14.0,9.0,9.0,32.0,132.0,[50.0],[4.3214],1.0,4.3214,50.0
Peg-8 Glyceryl Isostearate,1,[AmorePacific],196.0,14.0,9.0,9.0,32.0,132.0,[50.0],[4.3214],1.0,4.3214,50.0
Camelliasinensis Leaf Extract,1,[AmorePacific],196.0,14.0,9.0,9.0,32.0,132.0,[50.0],[4.3214],1.0,4.3214,50.0
Vaccinium Myrtillus Fruit/Leafextract,1,[AmorePacific],196.0,14.0,9.0,9.0,32.0,132.0,[50.0],[4.3214],1.0,4.3214,50.0
Acer Saccharum (Sugar Maple) Extract,5,"[AmorePacific, Josie Maran, Fresh, Dr. Dennis Gross Skincare, Ole Henriksen]",724.0,59.0,59.0,50.0,121.0,435.0,"[50.0, 38.0, 90.0, 58.0, 50.0]","[4.3214, 3.8794, 4.169, 4.037, 3.6818]",5.0,4.01772,57.2
Caricapapaya (Papaya) Fruit Extract,1,[AmorePacific],196.0,14.0,9.0,9.0,32.0,132.0,[50.0],[4.3214],1.0,4.3214,50.0
Aleurites Moluccanus Seed Oil,1,[NUDE Skincare],14.0,2.0,1.0,1.0,3.0,7.0,[0.0],[3.8571],1.0,3.8571,0.0
Crambe Abyssinica Seed Oil,2,"[NUDE Skincare, Farmacy]",173.0,9.0,13.0,9.0,23.0,119.0,"[0.0, 48.0]","[3.8571, 4.3711]",2.0,4.1141,24.0
Passiflora Incarnata (Passionfruit) Seed Oil,1,[NUDE Skincare],14.0,2.0,1.0,1.0,3.0,7.0,[0.0],[3.8571],1.0,3.8571,0.0
Opuntia Ficus Indica Fruit Extract,1,[NUDE Skincare],14.0,2.0,1.0,1.0,3.0,7.0,[0.0],[3.8571],1.0,3.8571,0.0
Euterpe Oleracea Sterols,1,[NUDE Skincare],14.0,2.0,1.0,1.0,3.0,7.0,[0.0],[3.8571],1.0,3.8571,0.0
Squalene,11,"[NUDE Skincare, KORRES, KORRES, Origins, Origins, Origins, Origins, Origins, NUDE Skincare, philosophy, COVER FX]",1353.0,72.0,70.0,80.0,206.0,926.0,"[0.0, 62.0, 45.0, 65.0, 62.0, 65.0, 43.0, 60.0, 0.0, 80.0, 48.0]","[3.8571, 4.32, 4.75, 4.2083, 4.0909, 4.0, 4.3472, 4.5556, 4.5572, 3.9778, 4.4865]",5.0,4.28641818182,48.1818181818
Phytosteryl Canola Glycerides,1,[NUDE Skincare],14.0,2.0,1.0,1.0,3.0,7.0,[0.0],[3.8571],1.0,3.8571,0.0
CoconutAlkanes,1,[KORRES],75.0,4.0,5.0,5.0,10.0,51.0,[62.0],[4.32],1.0,4.32,62.0
ArganiaSpinosa Kernel Oil,1,[KORRES],75.0,4.0,5.0,5.0,10.0,51.0,[62.0],[4.32],1.0,4.32,62.0
AscorbylTetraisopalmitate,1,[KORRES],75.0,4.0,5.0,5.0,10.0,51.0,[62.0],[4.32],1.0,4.32,62.0
Alaria EsculentaExtract,1,[KORRES],75.0,4.0,5.0,5.0,10.0,51.0,[62.0],[4.32],1.0,4.32,62.0
PinusNigra Bud/Needle Extract,1,[KORRES],75.0,4.0,5.0,5.0,10.0,51.0,[62.0],[4.32],1.0,4.32,62.0
Zea Mays (Corn) Germ Oil,2,"[KORRES, KORRES]",79.0,4.0,5.0,5.0,11.0,54.0,"[62.0, 45.0]","[4.32, 4.75]",1.0,4.535,53.5
Dimethyl Isosorbide,9,"[Lancer, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, St. Tropez Tanning Essentials, St. Tropez Tanning Essentials, Sunday Riley, KORRES, Kate Somerville, Peter Thomas Roth]",816.0,74.0,45.0,48.0,107.0,545.0,"[185.0, 65.0, 75.0, 30.0, 35.0, 80.0, 54.0, 89.0, 68.0]","[5.0, 4.75, 3.9, 3.4545, 3.8571, 4.2609, 4.5276, 0.0, 4.3308]",7.0,3.78676666667,75.6666666667
Ethylhexyl Isononanoate,4,"[Lancer, IT Cosmetics, SK-II, Fresh]",152.0,11.0,13.0,6.0,28.0,95.0,"[185.0, 48.0, 385.0, 67.0]","[5.0, 4.6538, 3.6667, 4.1092]",4.0,4.357425,171.25
Copolymer,2,"[Lancer, First Aid Beauty]",406.0,33.0,45.0,42.0,81.0,205.0,"[185.0, 40.0]","[5.0, 3.9333]",2.0,4.46665,112.5
μconotoxin Cn CIII,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Acetyl Glutamine,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Sh-Oligopeptide-1,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Sh-Oligopeptide-2,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Sh-Polypeptide-1,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Sh-Polypeptide-9,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Sh-Polypeptide-11,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Bambusa Vulgaris Extract,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Glucosamine HCl,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Hydrolyzed Chondrus Crispus Extract,3,"[Lancer, Supergoop!, Kate Somerville]",379.0,19.0,19.0,22.0,68.0,252.0,"[185.0, 32.0, 85.0]","[5.0, 4.3711, 4.3115]",3.0,4.56086666667,100.666666667
Vanillyl Butyl Ether,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Sodium Dihydroacetate,1,[Lancer],1.0,0.0,0.0,0.0,0.0,1.0,[185.0],[5.0],1.0,5.0,185.0
Opuntia Coccinellifera Fruit Extract,4,"[AmorePacific, AmorePacific, AmorePacific, AmorePacific]",577.0,24.0,34.0,42.0,108.0,369.0,"[35.0, 195.0, 150.0, 50.0]","[4.3539, 4.3368, 4.1667, 4.4316]",1.0,4.32225,107.5
Hydrolyzed Phyllostachis Bambusoides,2,"[AmorePacific, AmorePacific]",292.0,15.0,15.0,24.0,57.0,181.0,"[35.0, 150.0]","[4.3539, 4.1667]",1.0,4.2603,92.5
Peg-75,1,[AmorePacific],178.0,6.0,8.0,14.0,39.0,111.0,[35.0],[4.3539],1.0,4.3539,35.0
Peg/Ppg-17/6 Copolymer,3,"[AmorePacific, AmorePacific, Dr. Jart+]",326.0,11.0,14.0,23.0,64.0,215.0,"[35.0, 50.0, 49.0]","[4.3539, 4.4316, 4.4906]",2.0,4.42536666667,44.6666666667
Dimethylacrylamide/Acrylic Acid/Polystyrene Ethyl Methacrylate,1,[DERMAdoctor],258.0,57.0,31.0,27.0,43.0,100.0,[38.0],[3.3798],1.0,3.3798,38.0
Lycium Barbarum (Goji) Fruit Extract,1,[DERMAdoctor],258.0,57.0,31.0,27.0,43.0,100.0,[38.0],[3.3798],1.0,3.3798,38.0
Phytantriol,2,"[DERMAdoctor, AmorePacific]",372.0,66.0,38.0,37.0,61.0,170.0,"[38.0, 150.0]","[3.3798, 4.1667]",2.0,3.77325,94.0
Polyglyceryl-3 Diisostearate,3,"[DERMAdoctor, Perricone MD, Josie Maran]",326.0,67.0,34.0,34.0,49.0,142.0,"[38.0, 85.0, 42.0]","[3.3798, 3.72, 4.7222]",3.0,3.94066666667,55.0
Potassium Chloride,2,"[DERMAdoctor, bareMinerals]",2076.0,245.0,213.0,192.0,412.0,1019.0,"[38.0, 29.5]","[3.3798, 3.9032]",2.0,3.6415,33.75
Superoxide Dismutase,4,"[DERMAdoctor, Dr. Dennis Gross Skincare, Tata Harper, Peter Thomas Roth]",426.0,64.0,40.0,41.0,68.0,217.0,"[38.0, 30.0, 85.0, 85.0]","[3.3798, 4.0, 3.3684, 4.5874]",4.0,3.8339,59.5
Zinc Chloride,1,[DERMAdoctor],258.0,57.0,31.0,27.0,43.0,100.0,[38.0],[3.3798],1.0,3.3798,38.0
May Contain(+/):  Mica,1,[DERMAdoctor],258.0,57.0,31.0,27.0,43.0,100.0,[38.0],[3.3798],1.0,3.3798,38.0
Iron Oxides  (CI 77491,1,[DERMAdoctor],258.0,57.0,31.0,27.0,43.0,100.0,[38.0],[3.3798],1.0,3.3798,38.0
Natural,1,[LXMI],33.0,4.0,4.0,1.0,2.0,22.0,[78.0],[4.0303],1.0,4.0303,78.0
Hamamelis Virginiana (Witch Hazel) Distillate,3,"[Tata Harper, Tata Harper, Tata Harper]",86.0,6.0,14.0,10.0,11.0,45.0,"[105.0, 68.0, 105.0]","[4.0, 3.7949, 3.9143]",1.0,3.90306666667,92.6666666667
Raw Honey,2,"[Tata Harper, Tata Harper]",47.0,4.0,6.0,5.0,6.0,26.0,"[105.0, 105.0]","[4.0, 3.9143]",1.0,3.95715,105.0
Sodium Hyaluronat,1,[Tata Harper],12.0,1.0,2.0,1.0,0.0,8.0,[105.0],[4.0],1.0,4.0,105.0
Menyanthes Trifoliata (Buckbean),1,[Tata Harper],12.0,1.0,2.0,1.0,0.0,8.0,[105.0],[4.0],1.0,4.0,105.0
Flower Extract,1,[Tata Harper],12.0,1.0,2.0,1.0,0.0,8.0,[105.0],[4.0],1.0,4.0,105.0
Medicago Sativa (Alfalfa) Flower,2,"[Tata Harper, Tata Harper]",47.0,4.0,6.0,5.0,6.0,26.0,"[105.0, 105.0]","[4.0, 3.9143]",1.0,3.95715,105.0
Borago Officinalis Flower,2,"[Tata Harper, Tata Harper]",47.0,4.0,6.0,5.0,6.0,26.0,"[105.0, 105.0]","[4.0, 3.9143]",1.0,3.95715,105.0
Calendula Officinalis Flower,2,"[Tata Harper, Tata Harper]",47.0,4.0,6.0,5.0,6.0,26.0,"[105.0, 105.0]","[4.0, 3.9143]",1.0,3.95715,105.0
Filipendula Ulnaria Leaf &amp; Flower,2,"[Tata Harper, Tata Harper]",47.0,4.0,6.0,5.0,6.0,26.0,"[105.0, 105.0]","[4.0, 3.9143]",1.0,3.95715,105.0
Tilia Europaea Leaf &amp; Flower,1,[Tata Harper],12.0,1.0,2.0,1.0,0.0,8.0,[105.0],[4.0],1.0,4.0,105.0
Arnica Montana Flower,2,"[Tata Harper, Tata Harper]",47.0,4.0,6.0,5.0,6.0,26.0,"[105.0, 105.0]","[4.0, 3.9143]",1.0,3.95715,105.0
