,n_products,n_brands,n_reviews,n_firststar,n_secondstar,n_thirdstar,n_fourstar,n_fivestar,price,avg_reviews,n_brand,avg_review,price_v
Pongamia Pinnata Seed Extract,8,"[philosophy, philosophy, philosophy, philosophy, philosophy, philosophy, philosophy, philosophy]",264.0,22.0,29.0,31.0,58.0,124.0,"[75.0, 14.0, 35.0, 47.0, 36.0, 24.0, 75.0, 40.0]","[3.0, 0.0, 0.0, 0.0, 3.9431, 4.3, 4.037, 3.6575]",1.0,2.3672,43.25
Isopropyl Alcohol,3,"[philosophy, philosophy, Shiseido]",148.0,10.0,9.0,15.0,22.0,92.0,"[75.0, 75.0, 55.0]","[3.0, 4.037, 4.3444]",2.0,3.7938,68.3333333333
Acetic Acid,4,"[philosophy, philosophy, philosophy, philosophy]",58.0,5.0,6.0,8.0,6.0,33.0,"[75.0, 35.0, 47.0, 75.0]","[3.0, 0.0, 0.0, 4.037]",1.0,1.75925,58.0
Angelica Archangelica Root Extract,8,"[philosophy, philosophy, philosophy, philosophy, philosophy, philosophy, philosophy, philosophy]",264.0,22.0,29.0,31.0,58.0,124.0,"[75.0, 14.0, 35.0, 47.0, 36.0, 24.0, 75.0, 40.0]","[3.0, 0.0, 0.0, 0.0, 3.9431, 4.3, 4.037, 3.6575]",1.0,2.3672,43.25
Bha,2,"[philosophy, philosophy]",58.0,5.0,6.0,8.0,6.0,33.0,"[75.0, 75.0]","[3.0, 4.037]",1.0,3.5185,75.0
Beeswax,9,"[Lancôme, Laura Mercier, Dr. Jart+, Dr. Jart+, Koh Gen Do, Dr. Jart+, Dr. Dennis Gross Skincare, Lancôme, Jao]",132.0,11.0,13.0,12.0,28.0,68.0,"[97.0, 98.0, 48.0, 39.0, 55.0, 60.0, 75.0, 97.0, 48.0]","[4.125, 3.7143, 3.6047, 3.6471, 4.0, 5.0, 3.9, 4.2, 4.5556]",6.0,4.08296666667,68.5555555556
Sucrose Stearate,9,"[Lancôme, Human + Kind, Dr. Brandt Skincare, AmorePacific, Shiseido, Origins, Lancôme, Lancôme, Origins]",714.0,33.0,32.0,55.0,157.0,437.0,"[97.0, 0.0, 39.0, 100.0, 33.5, 65.0, 97.0, 49.0, 52.0]","[4.125, 3.8333, 3.9, 4.2846, 4.4779, 4.0, 4.2, 4.3519, 4.2403]",6.0,4.157,59.1666666667
Saccharomyces/Xylinum/ Black Tea Ferment,3,"[Lancôme, Lancôme, Lancôme]",38.0,2.0,3.0,2.0,9.0,22.0,"[97.0, 97.0, 119.0]","[4.125, 4.2, 4.2941]",1.0,4.20636666667,104.333333333
Hydrolyzed Hyaluronic Acid,17,"[Lancôme, Dr. Jart+, philosophy, Dr. Jart+, Lancer, philosophy, philosophy, Lancôme, IT Cosmetics, Sunday Riley, Caudalie, IT Cosmetics, Lancôme, IT Cosmetics, Kate Somerville, philosophy, Kate Somerville]",827.0,67.0,61.0,76.0,152.0,477.0,"[97.0, 48.0, 14.0, 50.0, 185.0, 36.0, 24.0, 97.0, 38.0, 65.0, 76.0, 38.0, 119.0, 38.0, 89.0, 40.0, 90.0]","[4.125, 3.6047, 0.0, 4.5, 5.0, 3.9431, 4.3, 4.2, 4.3714, 4.2347, 4.7273, 3.84, 4.2941, 3.5556, 0.0, 3.6575, 4.0]",8.0,3.66784705882,67.2941176471
Red 4,2,"[Lancôme, Lancôme]",21.0,2.0,1.0,1.0,5.0,12.0,"[97.0, 97.0]","[4.125, 4.2]",1.0,4.1625,97.0
Acetyl Tetrapeptide-9,5,"[Lancôme, Lancôme, Lancôme, Algenist, Yves Saint Laurent]",440.0,32.0,21.0,25.0,68.0,294.0,"[97.0, 97.0, 119.0, 96.0, 52.0]","[4.125, 4.2, 4.2941, 4.3546, 4.2252]",3.0,4.23978,92.2
Yellow 5,3,"[Lancôme, Lancôme, Lancôme]",94.0,3.0,5.0,6.0,19.0,61.0,"[97.0, 97.0, 52.0]","[4.125, 4.2, 4.4521]",1.0,4.25903333333,82.0
Dimethiconol,24,"[Lancôme, Lancôme, philosophy, philosophy, First Aid Beauty, Dr. Jart+, SK-II, Erborian, Dr. Brandt Skincare, Dr. Brandt Skincare, Dr. Brandt Skincare, Clarins, J.One, Lancôme, Fresh, AmorePacific, Lancôme, Giorgio Armani Beauty, Dr. Dennis Gross Skincare, boscia, AmorePacific, Lancôme, Erno Laszlo, boscia]",2296.0,121.0,169.0,199.0,513.0,1296.0,"[97.0, 104.0, 30.0, 50.0, 34.0, 60.0, 160.0, 43.0, 65.0, 61.0, 59.0, 53.0, 50.0, 97.0, 40.0, 195.0, 119.0, 55.0, 72.0, 38.0, 150.0, 49.0, 90.0, 36.0]","[4.125, 3.5625, 4.2, 0.0, 3.7143, 5.0, 4.2, 4.1081, 4.087, 3.9717, 4.2432, 3.5, 3.9091, 4.2, 4.4567, 4.3368, 4.2941, 4.4074, 4.1625, 4.14, 4.1667, 4.3519, 4.6842, 4.0741]",15.0,3.9956375,75.2916666667
Disodium Stearoyl Glutamate,6,"[Lancôme, Lancôme, Lancôme, Lancôme, Giorgio Armani Beauty, Too Cool For School]",312.0,18.0,28.0,31.0,50.0,189.0,"[97.0, 47.0, 88.0, 97.0, 55.0, 36.0]","[4.125, 4.2931, 4.3061, 4.2, 4.4074, 3.9615]",3.0,4.21551666667,70.0
USDA National Organic Program Certified Organic Extracts,2,"[KAPLAN MD, KAPLAN MD]",7.0,0.0,2.0,1.0,1.0,3.0,"[115.0, 100.0]","[3.0, 4.0]",1.0,3.5,107.5
Adipic Acid/Neopentyl Glycol Crosspolymer,2,"[Ole Henriksen, Sunday Riley]",311.0,16.0,19.0,33.0,54.0,190.0,"[22.0, 65.0]","[4.0588, 4.2347]",2.0,4.14675,43.5
Biosaccharide gum-1,1,[Ole Henriksen],17.0,2.0,1.0,0.0,5.0,9.0,[22.0],[4.0588],1.0,4.0588,22.0
Glyceryl Polymethacrylate,9,"[Ole Henriksen, Origins, Origins, Erborian, IT Cosmetics, Murad, Origins, Too Cool For School, Origins]",1210.0,59.0,75.0,112.0,231.0,738.0,"[22.0, 43.0, 62.0, 43.0, 48.0, 72.0, 37.0, 36.0, 52.0]","[4.0588, 4.3704, 4.0909, 4.3333, 4.6538, 4.4519, 4.1717, 3.9615, 4.2403]",6.0,4.25917777778,46.1111111111
Glucosamine HCL,10,"[Ole Henriksen, Murad, bareMinerals, Algenist, DERMAdoctor, bareMinerals, Algenist, bareMinerals, Algenist, bareMinerals]",576.0,37.0,32.0,33.0,87.0,387.0,"[22.0, 78.0, 35.0, 78.0, 57.0, 32.0, 94.0, 38.0, 94.0, 35.0]","[4.0588, 3.8, 4.4, 4.3333, 4.2283, 3.7895, 4.3385, 4.6957, 4.3613, 4.4]",5.0,4.24054,56.3
Menthyl Ethylamido Oxalate,1,[Ole Henriksen],17.0,2.0,1.0,0.0,5.0,9.0,[22.0],[4.0588],1.0,4.0588,22.0
Pisum Sativum (Pea) Extract,32,"[Ole Henriksen, Dr. Dennis Gross Skincare, Tria, philosophy, philosophy, Dr. Brandt Skincare, Tria, Origins, Primary Raw, belif, Erborian, Lancer, Caudalie, Algenist, Blithe, Dr. Brandt Skincare, Origins, Laura Mercier, Jurlique, Farmacy, Origins, Clarins, Sunday Riley, Sunday Riley, Herbivore, Origins, Algenist, Origins, Algenist, Algenist, Dr. Brandt Skincare, Kate Somerville]",1953.0,186.0,131.0,144.0,290.0,1207.0,"[22.0, 42.0, 65.0, 35.0, 47.0, 39.0, 60.0, 59.0, 46.0, 58.0, 36.0, 185.0, 39.0, 78.0, 46.0, 155.0, 59.0, 98.0, 55.0, 40.0, 60.0, 92.0, 65.0, 80.0, 58.0, 60.0, 96.0, 59.0, 94.0, 94.0, 135.0, 90.0]","[4.0588, 2.614, 5.0, 0.0, 0.0, 3.9, 0.0, 4.6, 3.8462, 5.0, 4.525, 5.0, 4.1215, 4.3333, 5.0, 3.5294, 3.0, 4.0, 5.0, 3.3873, 5.0, 4.1765, 4.2347, 4.2609, 3.8071, 4.5556, 4.3546, 4.5, 4.3385, 4.3613, 4.0909, 4.0]",20.0,3.8311125,70.21875
Bambusa vulgaris stem/leaf extract,1,[Ole Henriksen],17.0,2.0,1.0,0.0,5.0,9.0,[22.0],[4.0588],1.0,4.0588,22.0
Polyisobutene,9,"[Ole Henriksen, Tria, Blithe, Dr. Jart+, AmorePacific, Ole Henriksen, AmorePacific, Kate Somerville, AmorePacific]",903.0,50.0,55.0,72.0,153.0,574.0,"[22.0, 60.0, 49.0, 48.0, 195.0, 55.0, 150.0, 85.0, 195.0]","[4.0588, 0.0, 4.6316, 4.5106, 4.3368, 4.2459, 4.1667, 4.3115, 3.8125]",6.0,3.78604444444,95.4444444444
VP/VA Copolymer,1,[Ole Henriksen],17.0,2.0,1.0,0.0,5.0,9.0,[22.0],[4.0588],1.0,4.0588,22.0
Chondrus Crispus(Carrageenan),1,[Ole Henriksen],17.0,2.0,1.0,0.0,5.0,9.0,[22.0],[4.0588],1.0,4.0588,22.0
Hydrolyzed hyaluronic acid,1,[Ole Henriksen],17.0,2.0,1.0,0.0,5.0,9.0,[22.0],[4.0588],1.0,4.0588,22.0
Glycine,5,"[Ole Henriksen, Lancôme, Murad, AmorePacific, Murad]",2041.0,148.0,120.0,126.0,448.0,194.0,"[22.0, 49.0, 70.0, 100.0, 39.5]","[4.0588, 4.2308, 4.3571, 4.2846, 4.1753]",4.0,4.22132,56.1
Amodimethicone,1,[Ole Henriksen],17.0,2.0,1.0,0.0,5.0,9.0,[22.0],[4.0588],1.0,4.0588,22.0
PEG-7 Trimethylolpropane Coconut Ether,1,[Ole Henriksen],17.0,2.0,1.0,0.0,5.0,9.0,[22.0],[4.0588],1.0,4.0588,22.0
Sea Salt,2,"[Ole Henriksen, Josie Maran]",158.0,15.0,16.0,17.0,32.0,78.0,"[22.0, 38.0]","[4.0588, 3.8794]",2.0,3.9691,30.0
Copper Tripeptide-1,6,"[Ole Henriksen, Dr. Jart+, Murad, Dr. Jart+, Primary Raw, Primary Raw]",57.0,3.0,1.0,3.0,11.0,39.0,"[22.0, 50.0, 70.0, 60.0, 38.0, 46.0]","[4.0588, 4.5, 4.3571, 5.0, 4.4444, 4.9]",4.0,4.54338333333,47.6666666667
Dihydroxyacetone,3,"[Dr. Dennis Gross Skincare, St. Tropez Tanning Essentials, St. Tropez Tanning Essentials]",204.0,46.0,25.0,22.0,32.0,79.0,"[42.0, 30.0, 35.0]","[2.614, 3.4545, 3.8571]",2.0,3.30853333333,35.6666666667
